#,POS Type,POS Version
1948,Infor,6.8.0.101
1957,Infor,6.8.0.101
1958,Infor,6.8.0.101
1978,Infor,6.8.0.101
2003,Infor,6.8.0.101
2005,Infor,6.8.0.101
2019,Infor,6.8.0.101
2025,Infor,6.8.0.101
2028,Infor,6.8.0.101
2032,Infor,6.8.0.101
2048,Infor,6.8.0.101
2049,Infor,6.8.0.101
2061,Infor,6.8.0.101
2069,Infor,6.8.0.101
2072,Infor,6.8.0.101
2074,Infor,6.8.0.101
2075,Infor,6.8.0.101
2076,Infor,6.8.0.101
2081,Infor,6.8.0.101
2110,Infor,6.8.0.101
2112,Infor,6.8.0.101
2114,Infor,6.8.0.101
2121,Infor,6.8.0.101
2127,Infor,6.8.0.101
2134,Infor,6.8.0.101
2140,Infor,6.8.0.101
2144,Infor,6.8.0.101
2152,Infor,6.8.0.101
2164,Infor,6.8.0.101
2168,Infor,6.8.0.101
2222,Infor,6.8.0.101
2227,Infor,6.8.0.101
2230,Infor,6.8.0.101
2238,Infor,6.8.0.101
2239,Infor,6.8.0.101
2240,Infor,6.8.0.101
2245,Infor,6.8.0.101
2246,Infor,6.8.0.101
2247,Infor,6.8.0.101
2252,Infor,6.8.0.101
2254,Infor,6.8.0.101
2295,Infor,6.8.0.101
2301,Infor,6.8.0.101
2313,Infor,6.8.0.101
2314,Infor,6.8.0.101
2315,Infor,6.8.0.101
2317,Infor,6.8.0.101
2324,Infor,6.8.0.101
2326,Infor,6.8.0.101
2331,Infor,6.8.0.101
2335,Infor,6.8.0.101
2336,Infor,6.8.0.101
2338,Infor,6.8.0.101
2345,Infor,6.8.0.101
2377,Infor,6.8.0.101
2378,Infor,6.8.0.101
2393,Infor,6.8.0.101
2400,Infor,6.8.0.101
2405,Infor,6.8.0.101
2407,Infor,6.8.0.101
2415,Infor,6.8.0.101
2416,Infor,6.8.0.101
2417,Infor,6.8.0.101
2418,Infor,6.8.0.101
2419,Infor,6.8.0.101
2423,Infor,6.8.0.101
2424,Infor,6.8.0.101
2426,Infor,6.8.0.101
2431,Infor,6.8.0.101
2433,Infor,6.8.0.101
2435,Infor,6.8.0.101
2439,Infor,6.8.0.101
2440,Infor,6.8.0.101
2453,Infor,6.8.0.101
2466,Infor,6.8.0.101
2478,Infor,6.8.0.101
2487,Infor,6.8.0.101
2490,Infor,6.8.0.101
2493,Infor,6.8.0.101
2517,Infor,6.8.0.101
2532,Infor,6.8.0.101
2544,Infor,6.8.0.101
2564,Infor,6.8.0.101
2586,Infor,6.8.0.101
2605,Infor,6.8.0.101
2609,Infor,6.8.0.101
2623,Infor,6.8.0.101
2624,Infor,6.8.0.101
2625,Infor,6.8.0.101
2627,Infor,6.8.0.101
2630,Infor,6.8.0.101
2647,Infor,6.8.0.101
2681,Infor,6.8.0.101
2699,Infor,6.8.0.101
2703,Infor,6.8.0.101
2720,Infor,6.8.0.101
2759,Infor,6.8.0.101
2768,Infor,6.8.0.101
2774,Infor,6.8.0.101
2778,Infor,6.8.0.101
2783,Infor,6.8.0.101
2797,Infor,6.8.0.101
2798,Infor,6.8.0.101
2809,Infor,6.8.0.101
2851,Infor,6.8.0.101
2852,Infor,6.8.0.101
2856,Infor,6.8.0.101
2865,Infor,6.8.0.101
2878,Infor,6.8.0.101
2880,Infor,6.8.0.101
2893,Infor,6.8.0.101
2895,Infor,6.8.0.101
2896,Infor,6.8.0.101
2913,Infor,6.8.0.101
2916,Infor,6.8.0.101
2925,Infor,6.8.0.101
2931,Infor,6.8.0.101
2934,Infor,6.8.0.101
2938,Infor,6.8.0.101
2940,Infor,6.8.0.101
2967,Infor,6.8.0.101
2977,Infor,6.8.0.101
3008,Infor,6.8.0.101
3016,Infor,6.8.0.101
3022,Infor,6.8.0.101
3031,Infor,6.8.0.101
